year,team,foreign_percent,homegames,total_attendence,avg_attendence
2016,Bucks,36.4,41,630976,15389
2016,Bulls,26.7,40,847903,21197
2016,Cavaliers,50,41,820439,20010
2016,Celtics,15.4,41,763584,18624
2016,Clippers,14.3,40,646830,16170
2016,Grizzlies,11.8,40,509806,12745
2016,Hawks,41.7,41,686688,16748
2016,Heat,25,40,729178,18229
2016,Hornets,6.3,40,581049,14526
2016,Jazz,35.7,41,816042,19903
2016,Kings,25,40,502852,12571
2016,Lakers,25,41,778877,18997
2016,Magic,35.7,41,698768,17043
2016,Mavericks,20,41,821723,20042
2016,Nets,27.3,41,621062,15147
2016,Nuggets,54.5,41,706165,17223
2016,Pacers,10,41,581472,14182
2016,Pelicans,18.2,41,695727,16968
2016,Pistons,27.3,41,896971,21877
2016,Raptors,38.5,41,769707,18773
2016,Rockets,18.2,40,699280,17482
2016,Spurs,42.9,41,749048,18269
2016,Suns,16.7,41,755302,18422
2016,Thunder,18.8,40,747732,18693
2016,Timberwolves,58.3,41,594743,14505
2016,Warriors,25,41,776660,18942
2016,Wizards,7.7,41,681117,16612
