year,player,games,mpg,ts,ast,turn_over,usg,orr,drr,rebr,per,va,ewa,foreign_player,team,salary,homegames,total_attendence,avg_attendence
2003,Dion Glover,76,24.9,0.512,14.6,11.2,18.5,4,12.8,8.5,13.79,46.4,1.5,0,Hawks,1584000,41,686688,16748
2003,Emanual Davis,24,14.2,0.45,22.7,15.8,15.8,2,12.3,7.2,8.38,-6.1,-0.2,0,Hawks,824000,41,686688,16748
2003,Glenn Robinson,69,37.6,0.519,11.2,13.5,26.2,4,15.7,10,17.57,136.7,4.6,0,Hawks,9860000,41,686688,16748
2003,Jason Terry,81,38,0.549,28.3,11.8,22.3,1,8.6,5.2,18.92,182.2,6.1,0,Hawks,2153000,41,686688,16748
2003,Matt Maloney,14,7.4,0.441,34.6,10.2,14.7,1,6.4,3.9,9.56,-1,0,0,Hawks,2775000,41,686688,16748
2003,Theo Ratliff,81,31.1,0.512,8.1,15.2,13.5,7,19.7,13.7,12.96,44.3,1.5,0,Hawks,9375000,41,686688,16748
2003,Alan Henderson,82,18.2,0.508,8.4,12.5,12.4,12,17.8,15.2,11.31,-2.1,-0.1,0,Hawks,7091000,41,686688,16748
2003,Amal McCaskill,11,6.4,0.293,19.4,7.8,12.8,12,23.5,17.9,6.34,-2.2,-0.1,0,Hawks,612000,41,686688,16748
2003,Chris Crawford,5,7.6,0.726,5.1,10.2,19.8,9,11.5,10.5,27.4,4.8,0.2,0,Hawks,2750000,41,686688,16748
2003,Brian Grant,82,32.2,0.552,10.4,12.9,14.6,10,26.8,18.3,14.83,65.5,2.2,0,Heat,11121000,40,729178,18229
2003,Anthony Carter,49,18.6,0.39,37.7,15,18.4,1,9.3,5.3,10.45,-3.8,-0.1,0,Heat,3656000,40,729178,18229
2003,LaPhonso Ellis,55,14.3,0.476,4.5,9.2,17.3,6,17.1,11.6,11.08,1.6,0.1,0,Heat,3300000,40,729178,18229
2003,Eddie Jones,47,38.1,0.551,16.5,8.1,21.6,2,12.7,7.3,19.24,116.7,3.9,0,Heat,11200000,40,729178,18229
2003,Vladimir Stepania,79,20.2,0.454,4.1,11.9,14.7,15,25.6,20.1,12.74,25.5,0.9,1,Heat,637000,40,729178,18229
2003,Jerome Moiso,51,12.6,0.542,8.6,17.9,15.3,11,21.7,16.1,13.62,14.5,0.5,1,Hornets,1681000,40,581049,14526
2003,Baron Davis,50,37.8,0.5,24.3,10.6,23.7,3,8.1,5.7,17.51,91.8,3.1,0,Hornets,3942000,40,581049,14526
2003,Stacey Augmon,70,12.3,0.474,20.7,12,13.5,3,12.7,8,9.24,-8.1,-0.3,0,Hornets,2400000,40,581049,14526
2003,Robert Traylor,69,12.3,0.486,13.2,14,16.5,15,21.3,17.9,14.1,16.5,0.5,0,Hornets,3726000,40,581049,14526
2003,George Lynch,81,18.5,0.464,19,9.5,13,11,16.8,13.7,12.21,19,0.6,0,Hornets,2600000,40,581049,14526
2003,David Wesley,73,37.1,0.533,16.5,8.7,20.3,2,5.9,3.8,15.74,105.9,3.5,0,Hornets,3600000,40,581049,14526
2003,Courtney Alexander,66,20.6,0.459,11,9.5,19.8,3,6.8,5,10.04,-4.6,-0.2,0,Hornets,1524000,40,581049,14526
2003,Bryce Drew,13,6.1,0.352,26.8,7.3,17.3,6,13.4,9.6,9.99,-0.6,0,0,Hornets,1300000,40,581049,14526
2003,Jamaal Magloire,82,29.8,0.541,8.6,15.5,16,12,22.3,17.2,14.7,74.7,2.5,1,Hornets,1126000,40,581049,14526
2003,P.J. Brown,78,33.4,0.592,15.5,10.3,13.2,11,20.7,15.6,16.73,101.8,3.4,0,Hornets,7044000,40,581049,14526
2003,Jamal Mashburn,82,40.5,0.507,18.9,9.4,26.1,2,15.3,8.7,18.93,209,7,0,Hornets,7750000,40,581049,14526
2003,Kirk Haston,12,4.8,0.16,10.4,24.3,19.1,0,14.4,7.1,-7.92,-8,-0.3,0,Hornets,1271000,40,581049,14526
2003,Scott Padgett,82,16.1,0.496,13.7,11.2,17.6,8,16.7,12.5,12.15,6.4,0.2,0,Jazz,1410000,41,816042,19903
2003,Matt Harpring,78,32.8,0.588,9.1,11,21.9,9,14.8,12.2,19.05,163.2,5.4,0,Jazz,2667000,41,816042,19903
2003,Mark Jackson,82,17.9,0.473,40.3,16.3,18.9,3,11.3,7.3,12.62,17.8,0.6,0,Jazz,4220000,41,816042,19903
2003,Karl Malone,81,36.2,0.534,17.6,9.8,26.4,5,20.5,13,21.71,223.8,7.5,0,Jazz,19250000,41,816042,19903
2003,John Stockton,82,27.7,0.577,39.9,11.5,20.8,3,7.7,5.4,20.68,167.7,5.6,0,Jazz,9000000,41,816042,19903
2003,John Amaechi,50,9.5,0.351,10.7,17.4,15.6,7,12.5,9.8,3.36,-28.8,-1,1,Jazz,2393000,41,816042,19903
2003,Greg Ostertag,81,23.8,0.531,9.6,18.2,11.3,12,19.6,15.8,10.33,-3.9,-0.1,0,Jazz,7799000,41,816042,19903
2003,DeShawn Stevenson,61,12.5,0.444,9.9,12.2,20.2,4,9.7,6.8,8.81,-9.6,-0.3,0,Jazz,956000,41,816042,19903
2003,Andrei Kirilenko,80,27.7,0.598,12.8,12.6,18.2,8,14.4,11.5,20.03,157.4,5.2,1,Jazz,893000,41,816042,19903
2003,Tony Massenburg,58,13.7,0.508,5.1,14.9,16.7,9,14.3,11.9,8.72,-16.4,-0.5,0,Jazz,1636000,41,816042,19903
2003,Keon Clark,80,22.3,0.528,11.7,13.8,13.5,9,17.9,13.6,13.08,21,0.7,0,Kings,2726000,40,502852,12571
2003,Mateen Cleaves,12,4.6,0.323,20.5,28.7,29.2,2,13,7.8,-1.26,-5,-0.2,0,Kings,1441000,40,502852,12571
2003,Lawrence Funderburke,27,8.5,0.466,8.6,6.4,14.7,8,16.9,12.9,11.45,-0.1,0,0,Kings,3300000,40,502852,12571
2003,Scot Pollard,23,14.1,0.497,4.8,12,14.2,16,18.8,17.5,13.49,7,0.2,0,Kings,4827000,40,502852,12571
2003,Vlade Divac,80,29.8,0.519,23,12.8,16.1,7,17.8,12.9,15.25,82.6,2.8,1,Kings,11248000,40,502852,12571
2003,Bobby Jackson,59,28.4,0.561,16.8,9.8,22,4,9.8,7,18.92,99.1,3.3,0,Kings,2700000,40,502852,12571
2003,Chris Webber,67,39.1,0.485,16.8,9.9,28,7,21.1,14.4,21.48,212.9,7.1,0,Kings,14343000,40,502852,12571
2003,Doug Christie,80,33.9,0.59,32.6,12.5,12.7,3,10.6,6.8,14.67,84.3,2.8,0,Kings,5625000,40,502852,12571
2003,Gerald Wallace,47,12.1,0.51,8.1,15.6,17.9,8,16,12,12.37,8,0.3,0,Kings,714000,40,502852,12571
2003,Hedo Turkoglu,67,17.5,0.509,15.1,8.7,16.8,3,13.3,8.6,12.18,14.7,0.5,1,Kings,1300000,40,502852,12571
2003,Mike Bibby,55,33.4,0.559,23.9,10.6,20.9,2,6.3,4.3,18.24,99.1,3.3,0,Kings,5448000,40,502852,12571
2003,Mark Madsen,54,14.5,0.458,14.9,10.6,11.6,12,10.6,11.5,8.65,-16.6,-0.6,0,Lakers,817000,41,778877,18997
2003,Devean George,71,22.7,0.485,13.9,9.8,14.7,6,13.7,10,11.18,8.2,0.3,0,Lakers,1542000,41,778877,18997
2003,Derek Fisher,82,34.5,0.52,24.4,7.7,14.2,2,8,4.8,12.1,23.1,0.8,0,Lakers,3000000,41,778877,18997
2003,Brian Shaw,72,12.5,0.467,24.3,12.7,15.6,2,12.5,7.4,10.52,-1.9,-0.1,0,Lakers,1400000,41,778877,18997
2003,Tracy Murray,31,6.2,0.407,11.9,13.9,18.9,3,10.6,6.7,5.95,-6.6,-0.2,0,Lakers,3740000,41,778877,18997
2003,Samaki Walker,67,18.6,0.465,14.6,12.8,12.5,10,23.1,16.7,10.89,-5.7,-0.2,0,Lakers,1540000,41,778877,18997
2003,Robert Horry,80,29.3,0.488,26.5,12.7,12.2,9,16.1,12.3,11.77,4.7,0.2,0,Lakers,5300000,41,778877,18997
2003,Rick Fox,76,28.7,0.523,24.7,11.8,15.4,3,13.5,8.3,12.01,24.6,0.8,1,Lakers,4170000,41,778877,18997
2003,Shaquille O'Neal,67,37.8,0.602,10.7,10.1,27.8,11,21.6,16.5,29.43,356.2,11.9,0,Lakers,23571000,41,778877,18997
2003,Horace Grant,5,17,0.52,21.2,3,13,3,8.3,5.4,12.96,1.5,0,0,Magic,2662000,41,698768,17043
2003,Shawn Kemp,79,20.7,0.468,7.5,14,16.6,10,21.9,15.8,11.19,7.1,0.2,0,Magic,21500000,41,698768,17043
2003,Tracy McGrady,75,39.4,0.564,15,7.1,32.6,5,14.6,9.5,31.01,452,15.1,0,Magic,12072000,41,698768,17043
2003,Andrew DeClercq,77,17.2,0.562,11.3,18.2,12.5,12,17.5,14.6,10.27,-3.3,-0.1,0,Magic,3263000,41,698768,17043
2003,Chris Whitney,51,20.6,0.468,24.4,11.9,15.7,0.3,7.4,3.7,9.83,-9.2,-0.3,0,Magic,2962000,41,698768,17043
2003,Darrell Armstrong,82,28.7,0.53,26.7,13.2,16.5,4,10.2,7.2,14.58,62.8,2.1,0,Magic,4506000,41,698768,17043
2003,Pat Garrity,81,31.9,0.551,12.3,7.8,13.7,3,10.7,6.8,11.19,-5.9,-0.2,0,Magic,2238000,41,698768,17043
2003,Olumide Oyedeji,27,5.4,0.485,13.2,13.2,9.3,8,32.5,19.7,7.99,-2.8,-0.1,1,Magic,587000,41,698768,17043
2003,Jeryl Sasser,75,13.7,0.402,18.8,11.3,11.5,7,13.8,10.3,7.99,-21.5,-0.7,0,Magic,969000,41,698768,17043
2003,Jacque Vaughn,80,21.1,0.508,29.2,12.2,14.8,2,6.4,4,10.69,-3.9,-0.1,0,Magic,700000,41,698768,17043
2003,Grant Hill,29,29.1,0.568,21.2,14.6,22.9,5,23.2,14,21.02,66.2,2.2,0,Magic,12072000,41,698768,17043
2003,Raef LaFrentz,69,23.3,0.578,8.3,7,15.1,9,14,11.3,15.79,62.3,2.1,0,Mavericks,4926000,41,821723,20042
2003,Shawn Bradley,81,21.4,0.601,9.4,11.7,12.2,10,20.7,15.1,16.97,82.3,2.7,1,Mavericks,4675000,41,821723,20042
2003,Steve Nash,82,33.1,0.576,29.1,9.4,24,3,7,4.8,23.51,253.1,8.4,1,Mavericks,5750000,41,821723,20042
2003,Tariq Abdul-Wahad,14,14.6,0.47,23.7,7.9,14.4,8,14,10.8,12.07,2.4,0.1,1,Mavericks,5625000,41,821723,20042
2003,Avery Johnson,48,9,0.467,24.6,11.1,19.9,3,5.4,4,13.09,6.7,0.2,0,Mavericks,4991000,41,821723,20042
2003,Dirk Nowitzki,80,39,0.581,11.3,7.2,24.8,3,25.1,14,25.94,336,11.2,1,Mavericks,2923000,41,821723,20042
2003,Evan Eschmeyer,17,7.9,0.409,18.3,18.3,8.4,8,15.5,11.8,5.72,-4.9,-0.2,0,Mavericks,3104000,41,821723,20042
2003,Michael Finley,69,38.3,0.514,12.7,7.1,22,4,12.3,8.4,18.34,154.6,5.2,0,Mavericks,11953000,41,821723,20042
2003,Nick Van Exel,73,27.8,0.51,23.5,9.3,21.8,2,9.4,5.7,16.7,86.1,2.9,0,Mavericks,10003000,41,821723,20042
2003,Kenyon Martin,77,34.1,0.511,11.3,11.8,22.8,7,20.7,13.9,16.83,104.5,3.5,0,Nets,4067000,41,621062,15147
2003,Kerry Kittles,65,30,0.55,17.1,5.5,17.9,3,11.7,7.4,18.09,110.6,3.7,0,Nets,8717000,41,621062,15147
2003,Richard Jefferson,80,36,0.563,13.8,10.7,18.3,6,14.4,10.2,16.44,127.7,4.3,0,Nets,1482000,41,621062,15147
2003,Brandon Armstrong,17,4.1,0.405,5.5,13.6,20.3,0,6.6,3.3,4.83,-2.9,-0.1,0,Nets,930000,41,621062,15147
2003,Brian Scalabrine,59,12.3,0.487,16.6,16.6,13.5,6,15.9,11.1,8.65,-15.4,-0.5,0,Nets,512000,41,621062,15147
2003,Dikembe Mutombo,24,21.4,0.445,9.1,16.3,15.1,12,22,17,10.63,0.1,0,1,Nets,16105000,41,621062,15147
2003,Lucious Harris,77,25.6,0.494,15,6.9,18.6,4,9.8,6.7,13.93,50.5,1.7,0,Nets,2640000,41,621062,15147
2003,Jason Collins,81,23.5,0.521,14.2,13.8,11.6,8,13.9,11.1,9.24,-19.4,-0.6,0,Nets,1147000,41,621062,15147
2003,Jason Kidd,80,37.4,0.526,29.3,12.2,26,4,15.1,9.6,22.62,259.3,8.6,0,Nets,9260000,41,621062,15147
2003,Marcus Camby,29,21.2,0.444,14.6,8.4,19,14,26.4,19.7,16.28,26.1,0.9,0,Nuggets,6750000,41,706165,17223
2003,Juwan Howard,77,35.5,0.501,12.7,10.3,24.7,7,18.1,12.5,17.16,115.3,3.8,0,Nuggets,20625000,41,706165,17223
2003,Mark Blount,81,17.3,0.491,9.9,18.2,10.7,8.8,16.9,12.6,9.93,-7.1,-0.2,0,Nuggets,637000,41,706165,17223
2003,Rodney White,72,21.7,0.469,12.5,16.1,22.8,3,13.3,7.9,10.37,-1.5,-0.1,0,Nuggets,1821000,41,706165,17223
2003,Ryan Bowen,62,16.1,0.519,17.3,13.8,11.1,9,9.7,9.2,11.59,8.1,0.3,0,Nuggets,587000,41,706165,17223
2003,Shammond Williams,78,24.1,0.503,26.5,11.4,16,1.4,9.3,5.2,12.67,23.5,0.8,1,Nuggets,1987000,41,706165,17223
2003,Donnell Harvey,77,20.9,0.486,11.7,14.4,19.5,9,21.6,14.8,12.1,7.2,0.2,0,Nuggets,992000,41,706165,17223
2003,Jeff Trepagnier,8,12.1,0.522,10.5,14,21.9,9,10.1,9.6,17.24,4.9,0.2,0,Nuggets,512000,41,706165,17223
2003,Metta World Peace,69,33.6,0.529,14.6,10.7,20.9,5,12.4,8.8,17.49,120.9,4,0,Pacers,1904000,41,581472,14182
2003,Jonathan Bender,46,17.8,0.521,11.2,11.2,16.8,6,12.2,9.1,13.1,15.9,0.5,0,Pacers,3226000,41,581472,14182
2003,Jermaine O'Neal,77,37.2,0.539,8.5,9.9,23.8,8,22.8,15.6,21.16,206.5,6.9,0,Pacers,6950000,41,581472,14182
2003,Jeff Foster,77,10.4,0.394,17.5,11.7,12.7,17,22,19.5,10.88,0.5,0,0,Pacers,1571000,41,581472,14182
2003,Primoz Brezec,22,5,0.449,6.9,12.1,19.7,13,9.9,11.6,10.79,0.2,0,1,Pacers,805000,41,581472,14182
2003,Tim Hardaway,10,12.7,0.483,28,12.8,21.8,1,12.1,6.6,15.36,4.3,0.1,0,Pacers,3780000,41,581472,14182
2003,Jamaal Tinsley,73,30.6,0.468,40.7,14.3,17.4,3,9.9,6.5,13.53,42.3,1.4,0,Pacers,805000,41,581472,14182
2003,Reggie Miller,70,30.2,0.597,17.5,6.8,16.2,1,7.8,4.6,16.17,89.5,3,0,Pacers,12046000,41,581472,14182
2003,Ron Mercer,72,23.2,0.439,14,6.8,17.2,2,8,5.2,9.73,-9.6,-0.3,0,Pacers,6618000,41,581472,14182
2003,Brad Miller,73,31.1,0.579,17,10.4,17.6,9,20.2,14.9,18.8,138.9,4.6,0,Pacers,4800000,41,581472,14182
2003,Austin Croshere,49,12.9,0.53,17.4,8.7,17.9,7,19.9,13.7,16.04,21.4,0.7,0,Pacers,6960000,41,581472,14182
2003,Al Harrington,82,30.1,0.493,9.6,12.5,19.7,7,15.7,11.6,12.54,19.2,0.6,0,Pacers,2110000,41,581472,14182
2003,Corliss Williamson,82,25.1,0.515,8.8,10.6,22.8,8,12.3,10.3,16.04,69.8,2.3,0,Pistons,4500000,41,896971,21877
2003,Michael Curry,78,19.9,0.474,26.3,10.9,8.8,1,8.6,4.8,5.54,-57.6,-1.9,0,Pistons,2600000,41,896971,21877
2003,Danny Manning,13,6.8,0.491,14.4,14.4,20.8,9,14.9,12,17.35,4.4,0.1,0,Pistons,1650000,41,896971,21877
2003,Don Reid,1,10,0.129,0,0,16.3,0,0,0,-16.69,-2.1,-0.1,0,Pistons,1100000,41,896971,21877
2003,Hubert Davis,43,7.6,0.484,23.8,9,13.1,2,11,6.5,9.07,-3.5,-0.1,0,Pistons,2631000,41,896971,21877
2003,Jon Barry,80,18.4,0.593,27.3,10.7,17.6,3,12,7.2,18.04,82.9,2.8,0,Pistons,3175000,41,896971,21877
2003,Richard Hamilton,82,32.2,0.531,10.8,10.4,28.5,4,10.5,7.1,19.76,182.5,6.1,0,Pistons,2681000,41,896971,21877
2003,Zeljko Rebraca,30,16.3,0.596,4.4,14.2,17.1,6,16,11.2,13.65,11.1,0.4,1,Pistons,3850000,41,896971,21877
